Time (UTC +01:00 M/d/yyyy h:mm:ss tt),"Minimum (A, Between rulers) (V)"
2/1/2024 9:34:54 AM,-0.5665293
2/1/2024 9:34:55 AM,NaN
2/1/2024 9:34:55 AM,-0.2482468
2/1/2024 9:34:55 AM,NaN
2/1/2024 9:34:55 AM,-0.2131213
2/1/2024 9:34:55 AM,-0.3614665
2/1/2024 9:34:55 AM,NaN
2/1/2024 9:34:55 AM,-0.2659326
2/1/2024 9:34:55 AM,-0.946143
2/1/2024 9:34:55 AM,-0.5845842
2/1/2024 9:34:55 AM,-0.5567483
2/1/2024 9:34:55 AM,-0.7897084
2/1/2024 9:34:55 AM,-0.7167815
2/1/2024 9:34:55 AM,-0.8995755
2/1/2024 9:34:55 AM,-0.7197343
2/1/2024 9:34:55 AM,-0.4848979
2/1/2024 9:34:55 AM,-0.6299828
2/1/2024 9:34:56 AM,-0.6822404
2/1/2024 9:34:56 AM,-0.4024053
2/1/2024 9:34:56 AM,-0.6950665
2/1/2024 9:34:56 AM,-0.6508981
2/1/2024 9:34:56 AM,-0.2698388
2/1/2024 9:34:56 AM,NaN
2/1/2024 9:34:56 AM,NaN
2/1/2024 9:34:56 AM,-0.8912402
2/1/2024 9:34:56 AM,-0.7045091
2/1/2024 9:34:56 AM,-0.6372108
2/1/2024 9:34:56 AM,-0.7673475
2/1/2024 9:34:56 AM,-0.8202817
2/1/2024 9:34:56 AM,-0.6556041
2/1/2024 9:34:56 AM,NaN
2/1/2024 9:34:56 AM,-0.8032418
2/1/2024 9:34:56 AM,NaN
2/1/2024 9:34:56 AM,-0.8680795
2/1/2024 9:34:56 AM,-0.3383674
2/1/2024 9:34:56 AM,NaN
2/1/2024 9:34:57 AM,NaN
2/1/2024 9:34:57 AM,-0.8499631
2/1/2024 9:34:57 AM,NaN
2/1/2024 9:34:57 AM,-0.298659
2/1/2024 9:34:57 AM,-0.8284633
2/1/2024 9:34:57 AM,-0.6793492
2/1/2024 9:34:57 AM,-0.3891179
2/1/2024 9:34:57 AM,-0.8987758
2/1/2024 9:34:57 AM,-0.3375677
2/1/2024 9:34:57 AM,-0.4778236
2/1/2024 9:34:57 AM,-0.2931533
2/1/2024 9:34:57 AM,-0.6615711
2/1/2024 9:34:57 AM,-0.9458046
2/1/2024 9:34:57 AM,-0.4562008
2/1/2024 9:34:57 AM,-0.7117372
2/1/2024 9:34:57 AM,-0.914247
2/1/2024 9:34:58 AM,-0.5551488
2/1/2024 9:34:58 AM,-0.8948696
2/1/2024 9:34:58 AM,-0.4987082
2/1/2024 9:34:58 AM,NaN
2/1/2024 9:34:58 AM,-0.857468
2/1/2024 9:34:58 AM,-0.9208907
2/1/2024 9:34:58 AM,-0.7259166
2/1/2024 9:34:58 AM,-0.6502522
2/1/2024 9:34:58 AM,NaN
2/1/2024 9:34:58 AM,-0.5841843
2/1/2024 9:34:58 AM,-0.9337475
2/1/2024 9:34:58 AM,-0.9124016
2/1/2024 9:34:58 AM,-0.7774053
2/1/2024 9:34:58 AM,-0.4721641
2/1/2024 9:34:58 AM,NaN
2/1/2024 9:34:58 AM,-0.8722318
2/1/2024 9:34:58 AM,-0.9394993
2/1/2024 9:34:58 AM,-0.7279773
2/1/2024 9:34:58 AM,NaN
2/1/2024 9:34:58 AM,-0.9179072
2/1/2024 9:34:58 AM,-0.9024975
2/1/2024 9:34:59 AM,-0.8753383
2/1/2024 9:34:59 AM,-0.36242
2/1/2024 9:34:59 AM,-0.7661479
2/1/2024 9:34:59 AM,-0.5229761
2/1/2024 9:34:59 AM,-0.67289
2/1/2024 9:34:59 AM,NaN
2/1/2024 9:34:59 AM,-0.9645054
2/1/2024 9:34:59 AM,NaN
2/1/2024 9:34:59 AM,-0.5843996
2/1/2024 9:34:59 AM,-0.5760335
2/1/2024 9:34:59 AM,-0.6623708
2/1/2024 9:34:59 AM,-0.9725025
2/1/2024 9:34:59 AM,NaN
2/1/2024 9:34:59 AM,-0.7001415
2/1/2024 9:34:59 AM,-0.7172121
2/1/2024 9:34:59 AM,-0.6382567
2/1/2024 9:34:59 AM,-0.6393947
2/1/2024 9:34:59 AM,-0.6500369
2/1/2024 9:34:59 AM,-0.6616634
2/1/2024 9:34:59 AM,NaN
2/1/2024 9:34:59 AM,-0.5757567
2/1/2024 9:34:59 AM,-0.5852301
2/1/2024 9:35:00 AM,-0.8039185
2/1/2024 9:35:00 AM,-0.8609437
2/1/2024 9:35:00 AM,-0.648253
2/1/2024 9:35:00 AM,-0.5264825
2/1/2024 9:35:00 AM,NaN
2/1/2024 9:35:00 AM,NaN
2/1/2024 9:35:00 AM,-0.7356053
2/1/2024 9:35:00 AM,NaN
2/1/2024 9:35:00 AM,-0.7305303
2/1/2024 9:35:00 AM,-0.8694636
2/1/2024 9:35:00 AM,-0.6159264
2/1/2024 9:35:00 AM,-0.8535002
2/1/2024 9:35:00 AM,NaN
2/1/2024 9:35:00 AM,-0.695251
2/1/2024 9:35:00 AM,-0.9107099
2/1/2024 9:35:00 AM,-0.8397207
2/1/2024 9:35:01 AM,-0.8471949
2/1/2024 9:35:01 AM,NaN
2/1/2024 9:35:01 AM,-0.520331
2/1/2024 9:35:01 AM,-0.6262303
2/1/2024 9:35:01 AM,-0.2361897
2/1/2024 9:35:01 AM,NaN
2/1/2024 9:35:01 AM,-0.8001046
2/1/2024 9:35:01 AM,-0.903082
2/1/2024 9:35:01 AM,-0.3449495
2/1/2024 9:35:01 AM,-0.6267532
2/1/2024 9:35:01 AM,-0.2894624
2/1/2024 9:35:01 AM,-0.2552596
2/1/2024 9:35:01 AM,-0.7850947
2/1/2024 9:35:01 AM,NaN
2/1/2024 9:35:01 AM,-0.9131705
2/1/2024 9:35:01 AM,-0.973702
2/1/2024 9:35:01 AM,-0.9048659
2/1/2024 9:35:01 AM,-0.4663509
2/1/2024 9:35:01 AM,NaN
2/1/2024 9:35:01 AM,-0.2690084
2/1/2024 9:35:01 AM,NaN
2/1/2024 9:35:02 AM,-0.6602178
2/1/2024 9:35:02 AM,-0.3321543
2/1/2024 9:35:02 AM,-0.2549828
2/1/2024 9:35:02 AM,-0.2453248
2/1/2024 9:35:02 AM,-0.799674
2/1/2024 9:35:02 AM,-0.6134658
2/1/2024 9:35:02 AM,-0.3125923
2/1/2024 9:35:02 AM,-0.2440945
2/1/2024 9:35:02 AM,-0.9562315
2/1/2024 9:35:02 AM,-0.8192667
2/1/2024 9:35:02 AM,NaN
2/1/2024 9:35:02 AM,-0.8223733
2/1/2024 9:35:02 AM,-0.8403358
2/1/2024 9:35:02 AM,-0.7773438
2/1/2024 9:35:02 AM,-0.6442852
2/1/2024 9:35:02 AM,-0.5942421
2/1/2024 9:35:03 AM,NaN
2/1/2024 9:35:03 AM,-0.9201218
2/1/2024 9:35:03 AM,-0.26664
2/1/2024 9:35:03 AM,-0.7861713
2/1/2024 9:35:03 AM,-0.5433686
2/1/2024 9:35:03 AM,-0.7773438
2/1/2024 9:35:03 AM,-0.5201464
2/1/2024 9:35:03 AM,-0.9235052
2/1/2024 9:35:03 AM,-0.7561516
2/1/2024 9:35:03 AM,-0.7097995
2/1/2024 9:35:03 AM,-0.9607837
2/1/2024 9:35:03 AM,-0.234375
2/1/2024 9:35:03 AM,-0.4037279
2/1/2024 9:35:03 AM,-0.233483
2/1/2024 9:35:03 AM,NaN
2/1/2024 9:35:03 AM,-0.368018
2/1/2024 9:35:03 AM,-0.5632997
2/1/2024 9:35:03 AM,-0.9008673
2/1/2024 9:35:03 AM,-0.2131213
2/1/2024 9:35:03 AM,-0.8587906
2/1/2024 9:35:04 AM,-0.4692729
2/1/2024 9:35:04 AM,NaN
2/1/2024 9:35:04 AM,-0.946143
2/1/2024 9:35:04 AM,-0.6667385
2/1/2024 9:35:04 AM,-0.9142163
2/1/2024 9:35:04 AM,-0.8963767
2/1/2024 9:35:04 AM,-0.255721
2/1/2024 9:35:04 AM,-0.3737082
2/1/2024 9:35:04 AM,-0.8670645
2/1/2024 9:35:04 AM,-0.2441252
2/1/2024 9:35:04 AM,-0.5777867
2/1/2024 9:35:04 AM,-0.4263349
2/1/2024 9:35:04 AM,-0.715951
2/1/2024 9:35:04 AM,-0.8246493
2/1/2024 9:35:04 AM,-0.9029282
2/1/2024 9:35:04 AM,NaN
2/1/2024 9:35:04 AM,NaN
2/1/2024 9:35:04 AM,NaN
2/1/2024 9:35:04 AM,NaN
2/1/2024 9:35:04 AM,-0.6587106
2/1/2024 9:35:04 AM,-0.9701033
2/1/2024 9:35:04 AM,-0.6227239
2/1/2024 9:35:05 AM,-0.5099348
2/1/2024 9:35:05 AM,-0.8834277
2/1/2024 9:35:05 AM,NaN
2/1/2024 9:35:05 AM,-0.2283465
2/1/2024 9:35:05 AM,-0.7880475
2/1/2024 9:35:05 AM,-0.6668922
2/1/2024 9:35:05 AM,-0.5533649
2/1/2024 9:35:05 AM,-0.6546813
2/1/2024 9:35:05 AM,NaN
2/1/2024 9:35:05 AM,-0.5970411
2/1/2024 9:35:05 AM,-0.9810839
2/1/2024 9:35:05 AM,-0.6192175
2/1/2024 9:35:05 AM,NaN
2/1/2024 9:35:05 AM,-0.7242557
2/1/2024 9:35:05 AM,-0.7164432
2/1/2024 9:35:05 AM,NaN
2/1/2024 9:35:05 AM,-0.9235052
2/1/2024 9:35:05 AM,-0.5949188
2/1/2024 9:35:05 AM,-0.8393516
2/1/2024 9:35:05 AM,-0.703371
2/1/2024 9:35:05 AM,-0.2769746
2/1/2024 9:35:05 AM,-0.73539
2/1/2024 9:35:06 AM,NaN
2/1/2024 9:35:06 AM,-0.5962106
2/1/2024 9:35:06 AM,-0.4350086
2/1/2024 9:35:06 AM,-0.459984
2/1/2024 9:35:06 AM,-0.563515
2/1/2024 9:35:06 AM,-0.7159818
2/1/2024 9:35:06 AM,NaN
2/1/2024 9:35:06 AM,-0.6204171
2/1/2024 9:35:06 AM,-0.2880167
2/1/2024 9:35:06 AM,-0.259781
2/1/2024 9:35:06 AM,-0.2575357
2/1/2024 9:35:06 AM,-0.7960138
2/1/2024 9:35:06 AM,-0.4172921
2/1/2024 9:35:06 AM,-0.6808255
2/1/2024 9:35:06 AM,-0.2763595
2/1/2024 9:35:06 AM,-0.3729085
2/1/2024 9:35:06 AM,-0.9579232
2/1/2024 9:35:06 AM,-0.7730684
2/1/2024 9:35:06 AM,-0.270454
2/1/2024 9:35:07 AM,-0.65219
2/1/2024 9:35:07 AM,-0.6301058
2/1/2024 9:35:07 AM,-0.5665908
2/1/2024 9:35:07 AM,-0.759012
2/1/2024 9:35:07 AM,NaN
2/1/2024 9:35:07 AM,-0.803611
2/1/2024 9:35:07 AM,-0.7126907
2/1/2024 9:35:07 AM,-0.9285802
2/1/2024 9:35:07 AM,-0.3901944
2/1/2024 9:35:07 AM,NaN
2/1/2024 9:35:07 AM,-0.4134474
2/1/2024 9:35:07 AM,NaN
2/1/2024 9:35:07 AM,-0.6676919
2/1/2024 9:35:07 AM,-0.7350517
2/1/2024 9:35:07 AM,-0.4573081
2/1/2024 9:35:08 AM,-0.776175
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,-0.9013903
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,-0.6196173
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,-0.7749138
2/1/2024 9:35:08 AM,-0.4595841
2/1/2024 9:35:08 AM,-0.4518332
2/1/2024 9:35:08 AM,-0.2657173
2/1/2024 9:35:08 AM,-0.4604146
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,-0.233483
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,-0.945497
2/1/2024 9:35:08 AM,-0.373862
2/1/2024 9:35:08 AM,-0.4136319
2/1/2024 9:35:08 AM,-0.835107
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,NaN
2/1/2024 9:35:08 AM,-0.8308317
2/1/2024 9:35:08 AM,-0.2803273
2/1/2024 9:35:09 AM,-0.3185285
2/1/2024 9:35:09 AM,-0.584092
2/1/2024 9:35:09 AM,NaN
2/1/2024 9:35:09 AM,-0.8259104
2/1/2024 9:35:09 AM,-0.5949188
2/1/2024 9:35:09 AM,NaN
2/1/2024 9:35:09 AM,-0.2865404
2/1/2024 9:35:09 AM,-0.5828002
2/1/2024 9:35:09 AM,NaN
2/1/2024 9:35:09 AM,-0.5959338
2/1/2024 9:35:09 AM,-0.677965
2/1/2024 9:35:09 AM,-0.5530881
2/1/2024 9:35:09 AM,-0.9779158
2/1/2024 9:35:09 AM,-0.7081385
2/1/2024 9:35:09 AM,-0.7863865
2/1/2024 9:35:09 AM,-0.4167077
2/1/2024 9:35:09 AM,-0.322281
2/1/2024 9:35:10 AM,-0.3609744
2/1/2024 9:35:10 AM,-0.6510827
2/1/2024 9:35:10 AM,-0.8045337
2/1/2024 9:35:10 AM,-0.2122601
2/1/2024 9:35:10 AM,-0.4369156
2/1/2024 9:35:10 AM,-0.4178457
2/1/2024 9:35:10 AM,-0.9213521
2/1/2024 9:35:10 AM,-0.4479269
2/1/2024 9:35:10 AM,-0.8520854
2/1/2024 9:35:10 AM,-0.8861343
2/1/2024 9:35:10 AM,-0.4515564
2/1/2024 9:35:10 AM,-0.7136442
2/1/2024 9:35:10 AM,-0.9153851
2/1/2024 9:35:10 AM,-0.7007874
2/1/2024 9:35:10 AM,-0.9533403
2/1/2024 9:35:10 AM,-0.5641609
2/1/2024 9:35:10 AM,-0.4798844
2/1/2024 9:35:11 AM,-0.8413201
2/1/2024 9:35:11 AM,-0.2764825
2/1/2024 9:35:11 AM,-0.419076
2/1/2024 9:35:11 AM,NaN
2/1/2024 9:35:11 AM,-0.4890502
2/1/2024 9:35:11 AM,-0.9030512
2/1/2024 9:35:11 AM,-0.7167815
2/1/2024 9:35:11 AM,NaN
2/1/2024 9:35:11 AM,-0.6925443
2/1/2024 9:35:11 AM,NaN
2/1/2024 9:35:11 AM,NaN
2/1/2024 9:35:11 AM,-0.2337598
2/1/2024 9:35:11 AM,-0.9351932
2/1/2024 9:35:11 AM,NaN
2/1/2024 9:35:11 AM,NaN
2/1/2024 9:35:11 AM,-0.7114912
2/1/2024 9:35:12 AM,-0.704263
2/1/2024 9:35:12 AM,-0.5499815
2/1/2024 9:35:12 AM,NaN
2/1/2024 9:35:12 AM,-0.9254429
2/1/2024 9:35:12 AM,-0.7592273
2/1/2024 9:35:12 AM,NaN
2/1/2024 9:35:12 AM,-0.3254183
2/1/2024 9:35:12 AM,NaN
2/1/2024 9:35:12 AM,-0.5055672
2/1/2024 9:35:12 AM,-0.6494525
2/1/2024 9:35:12 AM,-0.938392
2/1/2024 9:35:12 AM,-0.9134781
2/1/2024 9:35:12 AM,NaN
2/1/2024 9:35:12 AM,-0.3566068
2/1/2024 9:35:12 AM,-0.5520423
2/1/2024 9:35:12 AM,-0.6369648
2/1/2024 9:35:12 AM,-0.7534449
2/1/2024 9:35:12 AM,-0.2926304
2/1/2024 9:35:12 AM,-0.6284141
2/1/2024 9:35:12 AM,-0.9154773
2/1/2024 9:35:13 AM,-0.8352608
2/1/2024 9:35:13 AM,-0.5441068
2/1/2024 9:35:13 AM,-0.327233
2/1/2024 9:35:13 AM,-0.409049
2/1/2024 9:35:13 AM,-0.2819882
2/1/2024 9:35:13 AM,NaN
2/1/2024 9:35:13 AM,-0.9358698
2/1/2024 9:35:13 AM,-0.546998
2/1/2024 9:35:13 AM,-0.4909264
2/1/2024 9:35:13 AM,-0.765748
2/1/2024 9:35:13 AM,-0.3558071
2/1/2024 9:35:13 AM,NaN
2/1/2024 9:35:13 AM,-0.4289801
2/1/2024 9:35:13 AM,-0.9154773
2/1/2024 9:35:14 AM,-0.76867
2/1/2024 9:35:14 AM,-0.9299643
2/1/2024 9:35:14 AM,-0.8305548
2/1/2024 9:35:14 AM,-0.5674213
2/1/2024 9:35:14 AM,-0.6371493
2/1/2024 9:35:14 AM,-0.758643
2/1/2024 9:35:14 AM,NaN
2/1/2024 9:35:14 AM,-0.2589505
2/1/2024 9:35:14 AM,-0.5777559
2/1/2024 9:35:14 AM,-0.632751
2/1/2024 9:35:14 AM,-0.7290847
2/1/2024 9:35:14 AM,-0.6958354
2/1/2024 9:35:14 AM,-0.833969
2/1/2024 9:35:14 AM,-0.7650406
2/1/2024 9:35:14 AM,-0.5678826
2/1/2024 9:35:14 AM,NaN
2/1/2024 9:35:15 AM,NaN
2/1/2024 9:35:15 AM,-0.7754368
2/1/2024 9:35:15 AM,NaN
2/1/2024 9:35:15 AM,-0.5812008
2/1/2024 9:35:15 AM,-0.7337598
2/1/2024 9:35:15 AM,NaN
2/1/2024 9:35:15 AM,-0.3807825
2/1/2024 9:35:15 AM,NaN
2/1/2024 9:35:15 AM,-0.5768947
2/1/2024 9:35:15 AM,-0.7948142
2/1/2024 9:35:15 AM,-0.4199373
2/1/2024 9:35:15 AM,NaN
2/1/2024 9:35:15 AM,-0.2383735
2/1/2024 9:35:16 AM,-0.905358
2/1/2024 9:35:16 AM,NaN
2/1/2024 9:35:16 AM,-0.8920398
2/1/2024 9:35:16 AM,-0.7413878
2/1/2024 9:35:16 AM,-0.2875246
2/1/2024 9:35:16 AM,-0.8217581
2/1/2024 9:35:16 AM,-0.3904712
2/1/2024 9:35:16 AM,NaN
2/1/2024 9:35:16 AM,-0.2724225
2/1/2024 9:35:16 AM,-0.5530266
2/1/2024 9:35:16 AM,-0.8339382
2/1/2024 9:35:16 AM,NaN
2/1/2024 9:35:16 AM,-0.5183317
2/1/2024 9:35:16 AM,-0.6789801
2/1/2024 9:35:16 AM,NaN
2/1/2024 9:35:16 AM,NaN
2/1/2024 9:35:16 AM,-0.8372908
2/1/2024 9:35:16 AM,-0.7671013
2/1/2024 9:35:16 AM,-0.734375
2/1/2024 9:35:17 AM,-0.7544291
2/1/2024 9:35:17 AM,-0.5384473
2/1/2024 9:35:17 AM,NaN
2/1/2024 9:35:17 AM,-0.8023192
2/1/2024 9:35:17 AM,NaN
2/1/2024 9:35:17 AM,-0.824957
2/1/2024 9:35:17 AM,NaN
2/1/2024 9:35:17 AM,-0.7643639
2/1/2024 9:35:17 AM,-0.8204048
2/1/2024 9:35:17 AM,-0.7462475
2/1/2024 9:35:17 AM,NaN
2/1/2024 9:35:17 AM,-0.5241757
2/1/2024 9:35:17 AM,-0.7554749
2/1/2024 9:35:17 AM,NaN
2/1/2024 9:35:17 AM,-0.6845472
2/1/2024 9:35:17 AM,-0.88758
2/1/2024 9:35:18 AM,-0.4696727
2/1/2024 9:35:18 AM,-0.4897576
2/1/2024 9:35:18 AM,NaN
2/1/2024 9:35:18 AM,NaN
2/1/2024 9:35:18 AM,-0.2228716
2/1/2024 9:35:18 AM,-0.7639333
2/1/2024 9:35:18 AM,-0.6333354
2/1/2024 9:35:18 AM,-0.801704
2/1/2024 9:35:18 AM,-0.7782972
2/1/2024 9:35:18 AM,-0.7452018
2/1/2024 9:35:18 AM,-0.4461122
2/1/2024 9:35:18 AM,-0.9028358
2/1/2024 9:35:18 AM,NaN
2/1/2024 9:35:18 AM,NaN
2/1/2024 9:35:18 AM,-0.788232
2/1/2024 9:35:18 AM,NaN
2/1/2024 9:35:18 AM,-0.886565
2/1/2024 9:35:18 AM,-0.6686454
2/1/2024 9:35:18 AM,-0.6522822
2/1/2024 9:35:18 AM,-0.4524176
2/1/2024 9:35:18 AM,-0.8599594
2/1/2024 9:35:18 AM,-0.726624
2/1/2024 9:35:18 AM,-0.9481422
2/1/2024 9:35:19 AM,-0.7763595
2/1/2024 9:35:19 AM,-0.7396038
2/1/2024 9:35:19 AM,-0.5625
2/1/2024 9:35:19 AM,-0.4059732
2/1/2024 9:35:19 AM,-0.8213275
2/1/2024 9:35:19 AM,-0.2369279
2/1/2024 9:35:19 AM,NaN
2/1/2024 9:35:19 AM,-0.3031804
2/1/2024 9:35:19 AM,-0.8720165
2/1/2024 9:35:19 AM,-0.7993664
2/1/2024 9:35:19 AM,NaN
2/1/2024 9:35:19 AM,-0.3921014
2/1/2024 9:35:19 AM,-0.2661479
2/1/2024 9:35:19 AM,-0.4688423
2/1/2024 9:35:19 AM,-0.6975886
