Time (UTC +01:00 M/d/yyyy h:mm:ss tt),"Minimum (integral(A), Between rulers) (Vs)"
2/1/2024 9:38:51 AM,-3.309596E-09
2/1/2024 9:38:51 AM,-3.513012E-09
2/1/2024 9:38:51 AM,-6.218774E-09
2/1/2024 9:38:51 AM,-6.004885E-09
2/1/2024 9:38:51 AM,-6.792482E-09
2/1/2024 9:38:51 AM,-4.87369E-09
2/1/2024 9:38:51 AM,-8.254072E-09
2/1/2024 9:38:51 AM,-6.031958E-09
2/1/2024 9:38:52 AM,-8.563373E-09
2/1/2024 9:38:52 AM,-5.401795E-09
2/1/2024 9:38:52 AM,-6.425589E-09
2/1/2024 9:38:52 AM,-6.983349E-09
2/1/2024 9:38:52 AM,-4.92316E-09
2/1/2024 9:38:52 AM,-4.973487E-09
2/1/2024 9:38:52 AM,-8.527731E-09
2/1/2024 9:38:52 AM,-6.404959E-09
2/1/2024 9:38:52 AM,-6.057535E-09
2/1/2024 9:38:52 AM,-7.303635E-09
2/1/2024 9:38:52 AM,NaN
2/1/2024 9:38:52 AM,-6.134983E-09
2/1/2024 9:38:52 AM,-8.885646E-09
2/1/2024 9:38:52 AM,-6.148369E-09
2/1/2024 9:38:52 AM,-6.396155E-09
2/1/2024 9:38:52 AM,-8.295793E-09
2/1/2024 9:38:52 AM,-8.43387E-09
2/1/2024 9:38:52 AM,-4.966577E-09
2/1/2024 9:38:53 AM,NaN
2/1/2024 9:38:53 AM,-7.025272E-09
2/1/2024 9:38:53 AM,NaN
2/1/2024 9:38:53 AM,-8.505329E-09
2/1/2024 9:38:53 AM,-5.55801E-09
2/1/2024 9:38:53 AM,-7.730567E-09
2/1/2024 9:38:53 AM,-9.187209E-09
2/1/2024 9:38:53 AM,NaN
2/1/2024 9:38:53 AM,NaN
2/1/2024 9:38:53 AM,-6.447398E-09
2/1/2024 9:38:53 AM,-3.546106E-09
2/1/2024 9:38:53 AM,-6.995369E-09
2/1/2024 9:38:53 AM,NaN
2/1/2024 9:38:53 AM,NaN
2/1/2024 9:38:53 AM,-6.80537E-09
2/1/2024 9:38:53 AM,-7.188663E-09
2/1/2024 9:38:54 AM,-8.923439E-09
2/1/2024 9:38:54 AM,NaN
2/1/2024 9:38:54 AM,-6.715779E-09
2/1/2024 9:38:54 AM,NaN
2/1/2024 9:38:54 AM,-4.428665E-09
2/1/2024 9:38:54 AM,-5.854459E-09
2/1/2024 9:38:54 AM,NaN
2/1/2024 9:38:54 AM,-8.986381E-09
2/1/2024 9:38:54 AM,-7.576709E-09
2/1/2024 9:38:54 AM,-6.187229E-09
2/1/2024 9:38:54 AM,-2.819488E-09
2/1/2024 9:38:54 AM,-7.122004E-09
2/1/2024 9:38:54 AM,-8.3473E-09
2/1/2024 9:38:54 AM,-8.56202E-09
2/1/2024 9:38:54 AM,-4.804674E-09
2/1/2024 9:38:55 AM,-7.214001E-09
2/1/2024 9:38:55 AM,-4.985329E-09
2/1/2024 9:38:55 AM,NaN
2/1/2024 9:38:55 AM,-9.361288E-09
2/1/2024 9:38:55 AM,-8.79549E-09
2/1/2024 9:38:55 AM,-8.781391E-09
2/1/2024 9:38:55 AM,NaN
2/1/2024 9:38:55 AM,-8.090073E-09
2/1/2024 9:38:55 AM,-8.270092E-09
2/1/2024 9:38:55 AM,-4.144666E-09
2/1/2024 9:38:55 AM,-5.274009E-09
2/1/2024 9:38:55 AM,-4.750849E-09
2/1/2024 9:38:55 AM,-7.766074E-09
2/1/2024 9:38:55 AM,-6.345453E-09
2/1/2024 9:38:55 AM,-7.027533E-09
2/1/2024 9:38:55 AM,-7.156667E-09
2/1/2024 9:38:55 AM,NaN
2/1/2024 9:38:56 AM,-7.70295E-09
2/1/2024 9:38:56 AM,-8.613014E-09
2/1/2024 9:38:56 AM,-7.247281E-09
2/1/2024 9:38:56 AM,-8.642902E-09
2/1/2024 9:38:56 AM,-8.440168E-09
2/1/2024 9:38:56 AM,-6.045564E-09
2/1/2024 9:38:56 AM,NaN
2/1/2024 9:38:56 AM,-6.550715E-09
2/1/2024 9:38:56 AM,-9.228529E-09
2/1/2024 9:38:56 AM,-5.264844E-09
2/1/2024 9:38:56 AM,-5.269002E-09
2/1/2024 9:38:56 AM,NaN
2/1/2024 9:38:56 AM,-7.39423E-09
2/1/2024 9:38:56 AM,-7.096912E-09
2/1/2024 9:38:56 AM,-8.579522E-09
2/1/2024 9:38:56 AM,-7.932409E-09
2/1/2024 9:38:56 AM,NaN
2/1/2024 9:38:56 AM,NaN
2/1/2024 9:38:56 AM,-7.759835E-09
2/1/2024 9:38:56 AM,-4.220981E-09
2/1/2024 9:38:57 AM,-6.228389E-09
2/1/2024 9:38:57 AM,-7.985723E-09
2/1/2024 9:38:57 AM,-8.703111E-09
2/1/2024 9:38:57 AM,NaN
2/1/2024 9:38:57 AM,-7.964793E-09
2/1/2024 9:38:57 AM,-4.428445E-09
2/1/2024 9:38:57 AM,-5.365963E-09
2/1/2024 9:38:57 AM,-6.981009E-09
2/1/2024 9:38:57 AM,-6.516738E-09
2/1/2024 9:38:57 AM,-1.009533E-08
2/1/2024 9:38:57 AM,NaN
2/1/2024 9:38:57 AM,NaN
2/1/2024 9:38:57 AM,-7.20469E-09
2/1/2024 9:38:57 AM,NaN
2/1/2024 9:38:57 AM,-4.867974E-09
2/1/2024 9:38:57 AM,NaN
2/1/2024 9:38:57 AM,-7.503653E-09
2/1/2024 9:38:57 AM,-8.333849E-09
2/1/2024 9:38:57 AM,-5.909232E-09
2/1/2024 9:38:58 AM,NaN
2/1/2024 9:38:58 AM,-7.566499E-09
2/1/2024 9:38:58 AM,-3.964771E-09
2/1/2024 9:38:58 AM,-7.119409E-09
2/1/2024 9:38:58 AM,-5.143522E-09
2/1/2024 9:38:58 AM,-8.366841E-09
2/1/2024 9:38:58 AM,-6.865021E-09
2/1/2024 9:38:58 AM,-4.909632E-09
2/1/2024 9:38:58 AM,NaN
2/1/2024 9:38:58 AM,-7.832848E-09
2/1/2024 9:38:58 AM,-7.549565E-09
2/1/2024 9:38:58 AM,-5.998818E-09
2/1/2024 9:38:58 AM,-9.051576E-09
2/1/2024 9:38:58 AM,-6.521807E-09
2/1/2024 9:38:58 AM,-1.152152E-08
2/1/2024 9:38:58 AM,-5.636148E-09
2/1/2024 9:38:58 AM,-5.752381E-09
2/1/2024 9:38:58 AM,-6.384E-09
2/1/2024 9:38:58 AM,NaN
2/1/2024 9:38:58 AM,NaN
2/1/2024 9:38:58 AM,-7.452646E-09
2/1/2024 9:38:58 AM,-7.470676E-09
2/1/2024 9:38:59 AM,-6.438633E-09
2/1/2024 9:38:59 AM,-7.758674E-09
2/1/2024 9:38:59 AM,-6.311534E-09
2/1/2024 9:38:59 AM,-4.81645E-09
2/1/2024 9:38:59 AM,-6.175485E-09
2/1/2024 9:38:59 AM,-9.442888E-09
2/1/2024 9:38:59 AM,-6.729558E-09
2/1/2024 9:38:59 AM,NaN
2/1/2024 9:38:59 AM,-5.862917E-09
2/1/2024 9:38:59 AM,NaN
2/1/2024 9:38:59 AM,-9.27091E-09
2/1/2024 9:38:59 AM,NaN
2/1/2024 9:38:59 AM,-8.057655E-09
2/1/2024 9:38:59 AM,-8.977746E-09
2/1/2024 9:38:59 AM,NaN
2/1/2024 9:38:59 AM,-8.280254E-09
2/1/2024 9:39:00 AM,NaN
2/1/2024 9:39:00 AM,-9.042035E-09
2/1/2024 9:39:00 AM,NaN
2/1/2024 9:39:00 AM,-4.944652E-09
2/1/2024 9:39:00 AM,-7.55425E-09
2/1/2024 9:39:00 AM,-6.932489E-09
2/1/2024 9:39:00 AM,-6.836035E-09
2/1/2024 9:39:00 AM,-6.669561E-09
2/1/2024 9:39:00 AM,-6.452713E-09
2/1/2024 9:39:00 AM,-5.010445E-09
2/1/2024 9:39:00 AM,-7.151107E-09
2/1/2024 9:39:00 AM,-5.994975E-09
2/1/2024 9:39:00 AM,-8.101548E-09
2/1/2024 9:39:00 AM,-7.344882E-09
2/1/2024 9:39:00 AM,-8.486166E-09
2/1/2024 9:39:01 AM,-8.008181E-09
2/1/2024 9:39:01 AM,-9.420367E-09
2/1/2024 9:39:01 AM,NaN
2/1/2024 9:39:01 AM,-6.426029E-09
2/1/2024 9:39:01 AM,-8.938275E-09
2/1/2024 9:39:01 AM,-4.945433E-09
2/1/2024 9:39:01 AM,-1.026426E-08
2/1/2024 9:39:01 AM,NaN
2/1/2024 9:39:01 AM,-7.64688E-09
2/1/2024 9:39:01 AM,-6.367826E-09
2/1/2024 9:39:01 AM,-7.05307E-09
2/1/2024 9:39:01 AM,-6.57857E-09
2/1/2024 9:39:01 AM,-5.509842E-09
2/1/2024 9:39:01 AM,-7.282436E-09
2/1/2024 9:39:01 AM,-6.895607E-09
2/1/2024 9:39:02 AM,-6.447285E-09
2/1/2024 9:39:02 AM,-6.366006E-09
2/1/2024 9:39:02 AM,-5.441485E-09
2/1/2024 9:39:02 AM,-6.390692E-09
2/1/2024 9:39:02 AM,-7.804267E-09
2/1/2024 9:39:02 AM,-9.60716E-09
2/1/2024 9:39:02 AM,-9.153507E-09
2/1/2024 9:39:02 AM,-3.490699E-09
2/1/2024 9:39:02 AM,NaN
2/1/2024 9:39:02 AM,-4.129268E-09
2/1/2024 9:39:02 AM,-5.496185E-09
2/1/2024 9:39:02 AM,-7.492361E-09
2/1/2024 9:39:02 AM,-7.98222E-09
2/1/2024 9:39:02 AM,-4.258027E-09
2/1/2024 9:39:02 AM,-9.798545E-09
2/1/2024 9:39:02 AM,-6.76085E-09
2/1/2024 9:39:02 AM,-7.538684E-09
2/1/2024 9:39:02 AM,-8.976839E-09
2/1/2024 9:39:02 AM,-8.560573E-09
2/1/2024 9:39:02 AM,-3.758434E-09
2/1/2024 9:39:02 AM,-6.323302E-09
2/1/2024 9:39:03 AM,-7.75826E-09
2/1/2024 9:39:03 AM,-7.81779E-09
2/1/2024 9:39:03 AM,-8.067601E-09
2/1/2024 9:39:03 AM,-6.622759E-09
2/1/2024 9:39:03 AM,-7.244812E-09
2/1/2024 9:39:03 AM,-8.164253E-09
2/1/2024 9:39:03 AM,NaN
2/1/2024 9:39:03 AM,-1.060729E-08
2/1/2024 9:39:03 AM,-4.269273E-09
2/1/2024 9:39:03 AM,-6.150972E-09
2/1/2024 9:39:03 AM,-7.349608E-09
2/1/2024 9:39:03 AM,-8.449859E-09
2/1/2024 9:39:03 AM,NaN
2/1/2024 9:39:03 AM,-9.413683E-09
2/1/2024 9:39:03 AM,-7.973727E-09
2/1/2024 9:39:03 AM,NaN
2/1/2024 9:39:03 AM,-9.148347E-09
2/1/2024 9:39:03 AM,-7.449974E-09
2/1/2024 9:39:03 AM,-5.280579E-09
2/1/2024 9:39:03 AM,-6.986278E-09
2/1/2024 9:39:03 AM,-6.853813E-09
2/1/2024 9:39:03 AM,-5.887839E-09
2/1/2024 9:39:03 AM,-7.484696E-09
2/1/2024 9:39:04 AM,NaN
2/1/2024 9:39:04 AM,-7.848135E-09
2/1/2024 9:39:04 AM,-3.480098E-09
2/1/2024 9:39:04 AM,-5.103622E-09
2/1/2024 9:39:04 AM,-6.047329E-09
2/1/2024 9:39:04 AM,-5.627182E-09
2/1/2024 9:39:04 AM,-6.908243E-09
2/1/2024 9:39:04 AM,-4.580472E-09
2/1/2024 9:39:04 AM,-8.13166E-09
2/1/2024 9:39:04 AM,-8.935094E-09
2/1/2024 9:39:04 AM,-6.000824E-09
2/1/2024 9:39:04 AM,-5.808255E-09
2/1/2024 9:39:04 AM,-5.11221E-09
2/1/2024 9:39:04 AM,-9.017784E-09
2/1/2024 9:39:04 AM,-7.038395E-09
2/1/2024 9:39:04 AM,-3.694212E-09
2/1/2024 9:39:04 AM,-3.557413E-09
2/1/2024 9:39:04 AM,-7.68371E-09
2/1/2024 9:39:04 AM,-9.696769E-09
2/1/2024 9:39:05 AM,-9.261639E-09
2/1/2024 9:39:05 AM,-7.917107E-09
2/1/2024 9:39:05 AM,-5.772544E-09
2/1/2024 9:39:05 AM,-5.940042E-09
2/1/2024 9:39:05 AM,NaN
2/1/2024 9:39:05 AM,-6.865661E-09
2/1/2024 9:39:05 AM,-9.186789E-09
2/1/2024 9:39:05 AM,NaN
2/1/2024 9:39:05 AM,-5.925498E-09
2/1/2024 9:39:05 AM,-8.227135E-09
2/1/2024 9:39:05 AM,-9.530782E-09
2/1/2024 9:39:05 AM,-6.31897E-09
2/1/2024 9:39:05 AM,NaN
2/1/2024 9:39:05 AM,-5.262216E-09
2/1/2024 9:39:05 AM,-8.103439E-09
2/1/2024 9:39:05 AM,-4.613522E-09
2/1/2024 9:39:05 AM,-4.560194E-09
2/1/2024 9:39:05 AM,NaN
2/1/2024 9:39:06 AM,NaN
2/1/2024 9:39:06 AM,-7.663355E-09
2/1/2024 9:39:06 AM,-4.293756E-09
2/1/2024 9:39:06 AM,NaN
2/1/2024 9:39:06 AM,NaN
2/1/2024 9:39:06 AM,-7.175172E-09
2/1/2024 9:39:06 AM,-7.582136E-09
2/1/2024 9:39:06 AM,NaN
2/1/2024 9:39:06 AM,-5.963484E-09
2/1/2024 9:39:06 AM,NaN
2/1/2024 9:39:06 AM,-3.88729E-09
2/1/2024 9:39:06 AM,-7.786933E-09
2/1/2024 9:39:06 AM,NaN
2/1/2024 9:39:06 AM,-4.652429E-09
2/1/2024 9:39:06 AM,-5.71568E-09
2/1/2024 9:39:07 AM,-7.815201E-09
2/1/2024 9:39:07 AM,-8.164576E-09
2/1/2024 9:39:07 AM,-3.590053E-09
2/1/2024 9:39:07 AM,-6.482189E-09
2/1/2024 9:39:07 AM,-8.262332E-09
2/1/2024 9:39:07 AM,-8.064131E-09
2/1/2024 9:39:07 AM,-6.083642E-09
2/1/2024 9:39:07 AM,-6.723831E-09
2/1/2024 9:39:07 AM,-4.987437E-09
2/1/2024 9:39:07 AM,-7.141437E-09
2/1/2024 9:39:07 AM,-3.81904E-09
2/1/2024 9:39:07 AM,-9.304103E-09
2/1/2024 9:39:07 AM,-7.600867E-09
2/1/2024 9:39:07 AM,-3.717998E-09
2/1/2024 9:39:07 AM,-8.270662E-09
2/1/2024 9:39:07 AM,NaN
2/1/2024 9:39:08 AM,-8.945312E-09
2/1/2024 9:39:08 AM,-7.864362E-09
2/1/2024 9:39:08 AM,-5.873026E-09
2/1/2024 9:39:08 AM,-4.876759E-09
2/1/2024 9:39:08 AM,-6.893154E-09
2/1/2024 9:39:08 AM,-6.666567E-09
2/1/2024 9:39:08 AM,NaN
2/1/2024 9:39:08 AM,-3.706959E-09
2/1/2024 9:39:08 AM,NaN
2/1/2024 9:39:08 AM,-7.927306E-09
2/1/2024 9:39:08 AM,NaN
2/1/2024 9:39:08 AM,NaN
2/1/2024 9:39:08 AM,-8.860634E-09
2/1/2024 9:39:08 AM,NaN
2/1/2024 9:39:08 AM,-5.518116E-09
2/1/2024 9:39:08 AM,-3.80283E-09
2/1/2024 9:39:08 AM,-1.073446E-08
2/1/2024 9:39:08 AM,-7.631853E-09
2/1/2024 9:39:09 AM,NaN
2/1/2024 9:39:09 AM,-7.805142E-09
2/1/2024 9:39:09 AM,-7.628394E-09
2/1/2024 9:39:09 AM,-3.895529E-09
2/1/2024 9:39:09 AM,-5.706009E-09
2/1/2024 9:39:09 AM,-8.196506E-09
2/1/2024 9:39:09 AM,NaN
2/1/2024 9:39:09 AM,NaN
2/1/2024 9:39:09 AM,-5.741672E-09
2/1/2024 9:39:09 AM,NaN
2/1/2024 9:39:09 AM,-7.495627E-09
2/1/2024 9:39:09 AM,NaN
2/1/2024 9:39:09 AM,NaN
2/1/2024 9:39:09 AM,-8.135652E-09
2/1/2024 9:39:09 AM,-6.070491E-09
2/1/2024 9:39:09 AM,-6.138447E-09
2/1/2024 9:39:09 AM,-7.748812E-09
2/1/2024 9:39:09 AM,-6.380196E-09
2/1/2024 9:39:09 AM,-6.205069E-09
2/1/2024 9:39:09 AM,-8.420417E-09
2/1/2024 9:39:09 AM,-6.240669E-09
2/1/2024 9:39:10 AM,-4.769193E-09
2/1/2024 9:39:10 AM,-6.777127E-09
2/1/2024 9:39:10 AM,NaN
2/1/2024 9:39:10 AM,NaN
2/1/2024 9:39:10 AM,-4.54009E-09
2/1/2024 9:39:10 AM,-7.471875E-09
2/1/2024 9:39:10 AM,NaN
2/1/2024 9:39:10 AM,-5.976834E-09
2/1/2024 9:39:10 AM,-4.780137E-09
2/1/2024 9:39:10 AM,-3.800092E-09
2/1/2024 9:39:10 AM,-8.425885E-09
2/1/2024 9:39:10 AM,-7.523377E-09
2/1/2024 9:39:10 AM,-6.809073E-09
2/1/2024 9:39:10 AM,-6.329396E-09
2/1/2024 9:39:10 AM,-7.132464E-09
2/1/2024 9:39:10 AM,-7.566472E-09
2/1/2024 9:39:10 AM,-8.988762E-09
2/1/2024 9:39:10 AM,NaN
2/1/2024 9:39:11 AM,-7.163556E-09
2/1/2024 9:39:11 AM,-6.758881E-09
2/1/2024 9:39:11 AM,-8.902463E-09
2/1/2024 9:39:11 AM,-5.035518E-09
2/1/2024 9:39:11 AM,-4.123315E-09
2/1/2024 9:39:11 AM,NaN
2/1/2024 9:39:11 AM,-5.675862E-09
2/1/2024 9:39:11 AM,-6.506522E-09
2/1/2024 9:39:11 AM,-6.313071E-09
2/1/2024 9:39:11 AM,-4.882505E-09
2/1/2024 9:39:11 AM,-8.508705E-09
2/1/2024 9:39:11 AM,-4.387044E-09
2/1/2024 9:39:11 AM,-9.272746E-09
2/1/2024 9:39:11 AM,-8.954908E-09
2/1/2024 9:39:11 AM,-8.109793E-09
2/1/2024 9:39:11 AM,-4.428629E-09
2/1/2024 9:39:11 AM,-9.09554E-09
2/1/2024 9:39:11 AM,-4.588989E-09
2/1/2024 9:39:11 AM,-2.97094E-09
2/1/2024 9:39:11 AM,-7.446911E-09
2/1/2024 9:39:11 AM,-6.416517E-09
2/1/2024 9:39:12 AM,-7.789613E-09
2/1/2024 9:39:12 AM,NaN
2/1/2024 9:39:12 AM,NaN
2/1/2024 9:39:12 AM,-8.262697E-09
2/1/2024 9:39:12 AM,-6.400635E-09
2/1/2024 9:39:12 AM,-9.092362E-09
2/1/2024 9:39:12 AM,-4.123364E-09
2/1/2024 9:39:12 AM,-4.647184E-09
2/1/2024 9:39:12 AM,-5.88937E-09
2/1/2024 9:39:12 AM,-6.942655E-09
2/1/2024 9:39:12 AM,-8.752957E-09
2/1/2024 9:39:12 AM,-8.525718E-09
2/1/2024 9:39:12 AM,NaN
2/1/2024 9:39:12 AM,NaN
2/1/2024 9:39:12 AM,-5.360567E-09
2/1/2024 9:39:12 AM,-5.125724E-09
2/1/2024 9:39:12 AM,-8.269376E-09
2/1/2024 9:39:12 AM,-6.992551E-09
2/1/2024 9:39:12 AM,-6.033778E-09
2/1/2024 9:39:13 AM,NaN
2/1/2024 9:39:13 AM,NaN
2/1/2024 9:39:13 AM,-7.245576E-09
2/1/2024 9:39:13 AM,-8.387256E-09
2/1/2024 9:39:13 AM,NaN
2/1/2024 9:39:13 AM,-8.085498E-09
2/1/2024 9:39:13 AM,-5.44153E-09
2/1/2024 9:39:13 AM,-7.406478E-09
2/1/2024 9:39:13 AM,NaN
2/1/2024 9:39:13 AM,-6.970867E-09
2/1/2024 9:39:13 AM,-6.578723E-09
2/1/2024 9:39:13 AM,-9.232625E-09
2/1/2024 9:39:13 AM,-7.342534E-09
2/1/2024 9:39:13 AM,NaN
2/1/2024 9:39:14 AM,-4.704528E-09
2/1/2024 9:39:14 AM,-5.989721E-09
2/1/2024 9:39:14 AM,-6.921653E-09
2/1/2024 9:39:14 AM,-7.204326E-09
2/1/2024 9:39:14 AM,-5.710715E-09
2/1/2024 9:39:14 AM,-6.714663E-09
2/1/2024 9:39:14 AM,-6.2231E-09
2/1/2024 9:39:14 AM,-5.630868E-09
2/1/2024 9:39:14 AM,-6.629342E-09
2/1/2024 9:39:14 AM,-9.378107E-09
2/1/2024 9:39:14 AM,-6.846733E-09
2/1/2024 9:39:14 AM,-7.637639E-09
2/1/2024 9:39:14 AM,-8.121906E-09
2/1/2024 9:39:14 AM,-8.026698E-09
2/1/2024 9:39:15 AM,-6.829825E-09
2/1/2024 9:39:15 AM,-7.533401E-09
2/1/2024 9:39:15 AM,-6.969338E-09
2/1/2024 9:39:15 AM,NaN
2/1/2024 9:39:15 AM,-6.042127E-09
2/1/2024 9:39:15 AM,-3.449046E-09
2/1/2024 9:39:15 AM,NaN
2/1/2024 9:39:15 AM,-5.762052E-09
2/1/2024 9:39:15 AM,NaN
2/1/2024 9:39:15 AM,NaN
2/1/2024 9:39:15 AM,-8.942139E-09
2/1/2024 9:39:15 AM,-7.732548E-09
2/1/2024 9:39:15 AM,-7.997803E-09
2/1/2024 9:39:15 AM,-7.633829E-09
2/1/2024 9:39:15 AM,-9.2608E-09
2/1/2024 9:39:15 AM,NaN
2/1/2024 9:39:15 AM,-9.003056E-09
2/1/2024 9:39:15 AM,-7.107031E-09
2/1/2024 9:39:15 AM,-7.671494E-09
2/1/2024 9:39:15 AM,-4.441135E-09
2/1/2024 9:39:15 AM,-8.348844E-09
2/1/2024 9:39:15 AM,NaN
2/1/2024 9:39:15 AM,-7.697823E-09
2/1/2024 9:39:15 AM,-7.765411E-09
2/1/2024 9:39:15 AM,-8.537704E-09
2/1/2024 9:39:16 AM,-6.96354E-09
2/1/2024 9:39:16 AM,-6.873722E-09
2/1/2024 9:39:16 AM,-5.093491E-09
2/1/2024 9:39:16 AM,-8.292298E-09
2/1/2024 9:39:16 AM,NaN
2/1/2024 9:39:16 AM,-6.344738E-09
2/1/2024 9:39:16 AM,-6.845762E-09
2/1/2024 9:39:16 AM,NaN
2/1/2024 9:39:16 AM,-9.42513E-09
2/1/2024 9:39:16 AM,-8.189228E-09
2/1/2024 9:39:16 AM,-7.832837E-09
2/1/2024 9:39:16 AM,NaN
2/1/2024 9:39:16 AM,-3.480073E-09
2/1/2024 9:39:16 AM,-3.121087E-09
2/1/2024 9:39:16 AM,-9.456696E-09
2/1/2024 9:39:16 AM,-3.077922E-09
2/1/2024 9:39:16 AM,NaN
2/1/2024 9:39:17 AM,-5.594187E-09
2/1/2024 9:39:17 AM,-6.886361E-09
2/1/2024 9:39:17 AM,-8.771925E-09
2/1/2024 9:39:17 AM,-6.417497E-09
2/1/2024 9:39:17 AM,-4.25022E-09
2/1/2024 9:39:17 AM,-8.09359E-09
2/1/2024 9:39:17 AM,-7.357636E-09
2/1/2024 9:39:17 AM,-8.081263E-09
2/1/2024 9:39:17 AM,-8.858005E-09
2/1/2024 9:39:17 AM,-7.709691E-09
2/1/2024 9:39:17 AM,NaN
2/1/2024 9:39:17 AM,-2.894168E-09
2/1/2024 9:39:17 AM,NaN
2/1/2024 9:39:17 AM,-6.236117E-09
2/1/2024 9:39:17 AM,-7.758615E-09
2/1/2024 9:39:17 AM,-6.558858E-09
2/1/2024 9:39:17 AM,-3.554558E-09
2/1/2024 9:39:18 AM,NaN
2/1/2024 9:39:18 AM,NaN
2/1/2024 9:39:18 AM,-6.235205E-09
2/1/2024 9:39:18 AM,-7.761226E-09
2/1/2024 9:39:18 AM,-8.700987E-09
2/1/2024 9:39:18 AM,-8.816892E-09
2/1/2024 9:39:18 AM,-6.378998E-09
2/1/2024 9:39:18 AM,-8.785933E-09
2/1/2024 9:39:18 AM,-9.565945E-09
2/1/2024 9:39:18 AM,-6.787443E-09
2/1/2024 9:39:18 AM,-7.609069E-09
2/1/2024 9:39:18 AM,-7.506386E-09
2/1/2024 9:39:18 AM,-7.135383E-09
2/1/2024 9:39:18 AM,-6.175318E-09
2/1/2024 9:39:18 AM,-5.948542E-09
2/1/2024 9:39:18 AM,NaN
2/1/2024 9:39:18 AM,NaN
2/1/2024 9:39:18 AM,-4.934816E-09
2/1/2024 9:39:19 AM,-5.535781E-09
2/1/2024 9:39:19 AM,NaN
2/1/2024 9:39:19 AM,-8.649518E-09
2/1/2024 9:39:19 AM,NaN
2/1/2024 9:39:19 AM,-7.173943E-09
2/1/2024 9:39:19 AM,-7.560668E-09
2/1/2024 9:39:19 AM,-7.24906E-09
2/1/2024 9:39:19 AM,-4.751933E-09
2/1/2024 9:39:19 AM,-4.964874E-09
2/1/2024 9:39:19 AM,-5.883648E-09
2/1/2024 9:39:19 AM,-3.991364E-09
2/1/2024 9:39:19 AM,-7.549686E-09
2/1/2024 9:39:19 AM,-5.76314E-09
2/1/2024 9:39:19 AM,-7.202822E-09
2/1/2024 9:39:19 AM,NaN
2/1/2024 9:39:19 AM,-7.472454E-09
